id,1251011@哲學概論（一）@1@1,1251011@哲學概論（一）@1@2,1251406@基礎邏輯（上）@1@1,1251406@基礎邏輯（上）@1@2,1251888@學系服務學習@1@1,1251911@哲學史（一）@1@1,1252200@知識論@1@1,1252907@羅爾斯@1@1,1253937@存在主義@1@1,1253950@中國哲學概論@1@1,1251010@哲學寫作@2@1,1251010@哲學寫作@2@2,1251010@哲學寫作@2@3,1251010@哲學寫作@2@4,1251010@哲學寫作@2@5,1251012@哲學概論（二）@2@1,1251012@哲學概論（二）@2@2,1251407@基礎邏輯（下）@2@1,1251407@基礎邏輯（下）@2@2,1251888@學系服務學習@2@1,1251912@哲學史（二）@2@1,1252306@語言哲學@2@1,1253500@科學哲學@2@1,1253545@自然哲學家：達爾文@2@1,1252305@心靈哲學@1@1,1252306@語言哲學@1@1,1252517@科學推理@1@1,1252600@倫理學@1@1,1252610@應用倫理學@1@1,1252927@蒯因@1@1,1253509@古代自然哲學與科學史@1@1,1253618@道德推理@1@1,1253622@分析倫理學重要議題選讀@1@1,1254315@情感@1@1,1254702@自由主義@1@1,1252010@哲學寫作@2@1,1252100@形上學@2@1,1252200@知識論@2@1,1252701@政治哲學@2@1,1252907@羅爾斯@2@1,1252943@休謨@2@1,1253412@理性選擇@2@1,1253605@行動哲學@2@1,1253931@女性主義經典哲學家：西蒙波娃@2@1,1254113@當代分析哲學重要議題選讀@2@1,1254503@生物哲學概論@2@1
404125039,NaN,79,62,NaN,85,60,NaN,NaN,NaN,72,NaN,0,NaN,NaN,NaN,NaN,79,60,NaN,NaN,38,NaN,-1,NaN,70,NaN,0,50,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN
404125040,NaN,96,96,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,94,69,NaN,90,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125041,NaN,83,NaN,70,85,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125045,NaN,78,NaN,66,85,63,NaN,NaN,NaN,85,NaN,NaN,NaN,79,NaN,NaN,72,-1,32,NaN,69,NaN,-1,NaN,70,73,NaN,62,69,NaN,64,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN
404125046,NaN,79,NaN,83,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,76,NaN,60,85,86,NaN,NaN,NaN,NaN,71,NaN,66,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,-1,-1,NaN,NaN
404125049,NaN,87,76,NaN,90,82,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,85,NaN,65,NaN,NaN,76,NaN,NaN,NaN,NaN,82,NaN,73,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
404125053,NaN,98,NaN,88,90,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,70,NaN,82,NaN,-1,NaN,87,81,NaN,85,91,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1
404125054,NaN,50,43,NaN,NaN,37,NaN,NaN,NaN,NaN,NaN,17,NaN,NaN,NaN,NaN,60,45,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125056,NaN,82,74,NaN,NaN,85,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,-1,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
404125057,NaN,67,NaN,67,80,60,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,18,NaN,63,-1,21,NaN,-1,NaN,-1,NaN,8,NaN,NaN,66,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
404125035,NaN,NaN,NaN,NaN,50,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404125058,NaN,94,96,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,81,95,89,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN
404125060,NaN,79,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
404125061,NaN,67,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,60,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,-1,NaN
